review,label
"This product is excellent and works perfectly",genuine
"I really loved this product, amazing quality",genuine
"Very useful product and good quality",genuine
"The product arrived on time and works well",genuine
"Excellent experience, I would buy this again",genuine
"Terrible product, stopped working immediately",fake
"Best product ever!!! Buy it now!!!",fake
"This amazing product changed my life completely",fake
"Five stars! Perfect! Absolutely perfect!",fake
"Everyone should buy this incredible product",fake
